TagName,Station,EquipmentCode,Unit,Signal,CnName,Description,DataType,Address,S7AreaType,S7DbNumber,S7Offset,S7BitOffset,S7BatchReadingId,RW,Length,ChannelCode,DeviceCode
SDJ.HeartBeat,,SDJ,,HeartBeat,心跳,,BOOL,DB200.0,DB,200,0,,1,READONLY,,SiemensS7Tcp,PLC01
BZJ.PickBag.Request,,BZJ,PickBag,Request,上袋允许读码,,BOOL,DB200.2,DB,200,2,,1,READONLY,,SiemensS7Tcp,PLC01
BZJ.PickBag.Code,,BZJ,PickBag,Code,上袋当前袋码,,STRING,DB200.4,DB,200,4,,1,READONLY,64,SiemensS7Tcp,PLC01
BZJ.Bagging.Request,,BZJ,Bagging,Request,套袋允许读码,,BOOL,DB200.90,DB,200,90,,1,READONLY,,SiemensS7Tcp,PLC01
BZJ.Bagging.Code,,BZJ,Bagging,Code,套袋当前袋码,,STRING,DB200.92,DB,200,92,,1,READONLY,64,SiemensS7Tcp,PLC01
BZJ.Bagging.Sn,,BZJ,Bagging,Sn,套袋包装机编号,,INT,DB200.158,DB,200,158,,1,READONLY,,SiemensS7Tcp,PLC01
BZJ.Bagging.BaggingStatus,,BZJ,Bagging,BaggingStatus,套袋状态,,INT,DB200.160,DB,200,160,,1,READONLY,,SiemensS7Tcp,PLC01
BZJ.TakeBag.Request,,BZJ,TakeBag,Request,取袋允许读码,,BOOL,DB200.182,DB,200,182,,1,READONLY,,SiemensS7Tcp,PLC01
BZJ.TakeBag.Code,,BZJ,TakeBag,Code,取袋当前袋码,,STRING,DB200.184,DB,200,184,,1,READONLY,64,SiemensS7Tcp,PLC01
BZJ.TakeBag.Sn,,BZJ,TakeBag,Sn,取袋包装机编号,,INT,DB200.250,DB,200,250,,1,READONLY,,SiemensS7Tcp,PLC01
BZJ.BaggingStatus,,BZJ,,BaggingStatus,包装机时间,,INT,DB200.252,DB,200,252,,1,READONLY,,SiemensS7Tcp,PLC01
BZJ.BaggingWeight,,BZJ,,BaggingWeight,包装机重量,,FLOAT,DB200.254,DB,200,254,,1,READONLY,,SiemensS7Tcp,PLC01
BZJ.HeartBeat,,BZJ,,HeartBeat,心跳,,BOOL,DB201.0,DB,201,0,,2,WRITEONLY,,SiemensS7Tcp,PLC01
BZJ.PickBag.Done,,BZJ,PickBag,Done,取袋读码完成,,INT,DB201.2,DB,201,2,,2,WRITEONLY,,SiemensS7Tcp,PLC01
BZJ.Bagging.Done,,BZJ,Bagging,Done,套袋读码完成,,INT,DB201.24,DB,201,24,,2,WRITEONLY,,SiemensS7Tcp,PLC01
BZJ.TakeBag.Done,,BZJ,TakeBag,Done,取包读码完成,,INT,DB201.46,DB,201,46,,2,WRITEONLY,,SiemensS7Tcp,PLC01
