Code,Name,Type,Capabilities,Sequence,Enabled,ConfigJson,,ExtendCode,LineCode,StationCode,EquipmentCode
PLC01,虚拟设备,System,LineStatus,0,TRUE,,,MDJ1_PLC01,MDJ1,WS_PLC01,PLC01
BZJ01,包装机01,Packaging,,1,TRUE,,,MDJ1_BZJ01,MDJ1,WS_BZJ01,BZJ01
BZJ02,包装机02,Packaging,,2,TRUE,,,MDJ1_BZJ02,MDJ1,WS_BZJ02,BZJ02
BZJ03,包装机03,Packaging,,3,TRUE,,,MDJ1_BZJ03,MDJ1,WS_BZJ03,BZJ03
BZJ04,包装机04,Packaging,,4,TRUE,,,MDJ1_BZJ04,MDJ1,WS_BZJ04,BZJ04
BZJ05,包装机05,Packaging,,5,TRUE,,,MDJ1_BZJ05,MDJ1,WS_BZJ05,BZJ05
BZJ06,包装机06,Packaging,,6,TRUE,,,MDJ1_BZJ06,MDJ1,WS_BZJ06,BZJ06
BZJ07,包装机07,Packaging,,7,TRUE,,,MDJ1_BZJ07,MDJ1,WS_BZJ07,BZJ07
BZJ08,包装机08,Packaging,,8,TRUE,,,MDJ1_BZJ08,MDJ1,WS_BZJ08,BZJ08
CZJ01,称重机01,Checkweigher,,9,TRUE,,,MDJ1_CZJ01,MDJ1,WS_CZJ01,CZJ01
PMJ01,喷码机01,Inkjet,,10,TRUE,,,MDJ1_PMJ01,MDJ1,WS_PMJ01,PMJ01
MDJ01,码垛机01,Palletizer,,11,TRUE,,,MDJ1_MDJ01,MDJ1,WS_MDJ01,MDJ01
MDJ02,码垛机02,Palletizer,,12,TRUE,,,MDJ1_MDJ02,MDJ1,WS_MDJ02,MDJ02
MDJ03,码垛机03,Palletizer,,13,TRUE,,,MDJ1_MDJ03,MDJ1,WS_MDJ03,MDJ03
CDJ01,出垛机01,PalletOut,,14,TRUE,,,MDJ1_CDJ01,MDJ1,WS_CDJ01,CDJ01
FMJ01,覆膜机01,StretchWrapper,,15,TRUE,,,MDJ1_FMJ01,MDJ1,WS_FMJ01,FMJ01
TBJ01,贴标机01,Labeling,,16,TRUE,,,MDJ1_TBJ01,MDJ1,WS_TBJ01,TBJ01
JPJ01,进盘机01,PalletStack,,17,TRUE,,,MDJ1_JPJ01,MDJ1,WS_JPJ01,JPJ01
PLC02,虚拟设备,System,,0,TRUE,,,MDJ2_PLC02,MDJ2,WS_PLC02,PLC02
BZJ09,包装机09,Packaging,,1,TRUE,,,MDJ2_BZJ09,MDJ2,WS_BZJ09,BZJ09
BZJ10,包装机10,Packaging,,2,TRUE,,,MDJ2_BZJ10,MDJ2,WS_BZJ10,BZJ10
BZJ11,包装机11,Packaging,,3,TRUE,,,MDJ2_BZJ11,MDJ2,WS_BZJ11,BZJ11
BZJ12,包装机12,Packaging,,4,TRUE,,,MDJ2_BZJ12,MDJ2,WS_BZJ12,BZJ12
BZJ13,包装机13,Packaging,,5,TRUE,,,MDJ2_BZJ13,MDJ2,WS_BZJ13,BZJ13
BZJ14,包装机14,Packaging,,6,TRUE,,,MDJ2_BZJ14,MDJ2,WS_BZJ14,BZJ14
BZJ15,包装机15,Packaging,,7,TRUE,,,MDJ2_BZJ15,MDJ2,WS_BZJ15,BZJ15
BZJ16,包装机16,Packaging,,8,TRUE,,,MDJ2_BZJ16,MDJ2,WS_BZJ16,BZJ16
CZJ02,称重机02,Checkweigher,,9,TRUE,,,MDJ2_CZJ02,MDJ2,WS_CZJ02,CZJ02
PMJ02,喷码机02,Inkjet,,10,TRUE,,,MDJ1_PMJ02,MDJ1,WS_PMJ02,PMJ02
MDJ04,码垛机04,Palletizer,,11,TRUE,,,MDJ2_MDJ04,MDJ2,WS_MDJ04,MDJ04
MDJ05,码垛机05,Palletizer,,12,TRUE,,,MDJ2_MDJ05,MDJ2,WS_MDJ05,MDJ05
MDJ06,码垛机06,Palletizer,,13,TRUE,,,MDJ2_MDJ06,MDJ2,WS_MDJ06,MDJ06
CDJ02,出垛机02,PalletOut,,14,TRUE,,,MDJ2_CDJ02,MDJ2,WS_CDJ02,CDJ02
FMJ02,覆膜机02,StretchWrapper,,15,TRUE,,,MDJ2_FMJ02,MDJ2,WS_FMJ02,FMJ02
TBJ02,贴标机02,Labeling,,16,TRUE,,,MDJ2_TBJ02,MDJ2,WS_TBJ02,TBJ02
JPJ02,进盘机02,PalletStack,,17,TRUE,,,MDJ2_JPJ02,MDJ2,WS_JPJ02,JPJ02
