Code,Name,LineCode,Type,Sequence,Enabled,ConfigJson,EquipmentRefsStr,,,,
WS_PLC01,虚拟工位01,MDJ1,WS_System,0,TRUE,,PLC01,,WS,PLC01,System
WS_BZJ01,包装工位01,MDJ1,WS_Packaging,1,TRUE,,BZJ01,,WS,BZJ01,Packaging
WS_BZJ02,包装工位02,MDJ1,WS_Packaging,2,TRUE,,BZJ02,,WS,BZJ02,Packaging
WS_BZJ03,包装工位03,MDJ1,WS_Packaging,3,TRUE,,BZJ03,,WS,BZJ03,Packaging
WS_BZJ04,包装工位04,MDJ1,WS_Packaging,4,TRUE,,BZJ04,,WS,BZJ04,Packaging
WS_BZJ05,包装工位05,MDJ1,WS_Packaging,5,TRUE,,BZJ05,,WS,BZJ05,Packaging
WS_BZJ06,包装工位06,MDJ1,WS_Packaging,6,TRUE,,BZJ06,,WS,BZJ06,Packaging
WS_BZJ07,包装工位07,MDJ1,WS_Packaging,7,TRUE,,BZJ07,,WS,BZJ07,Packaging
WS_BZJ08,包装工位08,MDJ1,WS_Packaging,8,TRUE,,BZJ08,,WS,BZJ08,Packaging
WS_CZJ01,称重工位01,MDJ1,WS_Checkweigher,9,TRUE,,CZJ01,,WS,CZJ01,Checkweigher
WS_PMJ01,码垛工位01,MDJ1,WS_Inkjet,10,TRUE,,PMJ01,,WS,PMJ01,Inkjet
WS_MDJ01,喷码工位01,MDJ1,WS_Palletizer,11,TRUE,,MDJ01,,WS,MDJ01,Palletizer
WS_MDJ02,码垛工位02,MDJ1,WS_Palletizer,12,TRUE,,MDJ02,,WS,MDJ02,Palletizer
WS_MDJ03,码垛工位03,MDJ1,WS_Palletizer,13,TRUE,,MDJ03,,WS,MDJ03,Palletizer
WS_CDJ01,出垛工位01,MDJ1,WS_PalletOut,14,TRUE,,CDJ01,,WS,CDJ01,PalletOut
WS_FMJ01,覆膜工位01,MDJ1,WS_StretchWrapper,15,TRUE,,FMJ01,,WS,FMJ01,StretchWrapper
WS_TBJ01,贴标工位01,MDJ1,WS_Labeling,16,TRUE,,TBJ01,,WS,TBJ01,Labeling
WS_PLC02,虚拟工位02,MDJ2,WS_System,0,TRUE,,PLC02,,WS,PLC02,System
WS_BZJ09,包装工位09,MDJ2,WS_Packaging,1,TRUE,,BZJ09,,WS,BZJ09,Packaging
WS_BZJ10,包装工位10,MDJ2,WS_Packaging,2,TRUE,,BZJ10,,WS,BZJ10,Packaging
WS_BZJ11,包装工位11,MDJ2,WS_Packaging,3,TRUE,,BZJ11,,WS,BZJ11,Packaging
WS_BZJ12,包装工位12,MDJ2,WS_Packaging,4,TRUE,,BZJ12,,WS,BZJ12,Packaging
WS_BZJ13,包装工位13,MDJ2,WS_Packaging,5,TRUE,,BZJ13,,WS,BZJ13,Packaging
WS_BZJ14,包装工位14,MDJ2,WS_Packaging,6,TRUE,,BZJ14,,WS,BZJ14,Packaging
WS_BZJ15,包装工位15,MDJ2,WS_Packaging,7,TRUE,,BZJ15,,WS,BZJ15,Packaging
WS_BZJ16,包装工位16,MDJ2,WS_Packaging,8,TRUE,,BZJ16,,WS,BZJ16,Packaging
WS_CZJ02,称重工位02,MDJ2,WS_Checkweigher,9,TRUE,,CZJ02,,WS,CZJ02,Checkweigher
WS_PMJ02,喷码工位02,MDJ2,WS_Inkjet,10,TRUE,,PMJ02,,WS,PMJ02,Inkjet
WS_MDJ04,码垛工位04,MDJ2,WS_Palletizer,11,TRUE,,MDJ04,,WS,MDJ04,Palletizer
WS_MDJ05,码垛工位05,MDJ2,WS_Palletizer,12,TRUE,,MDJ05,,WS,MDJ05,Palletizer
WS_MDJ06,码垛工位06,MDJ2,WS_Palletizer,13,TRUE,,MDJ06,,WS,MDJ06,Palletizer
WS_CDJ02,出垛工位02,MDJ2,WS_PalletOut,14,TRUE,,CDJ02,,WS,CDJ02,PalletOut
WS_FMJ02,覆膜工位02,MDJ2,WS_StretchWrapper,15,TRUE,,FMJ02,,WS,FMJ02,StretchWrapper
WS_TBJ02,贴标工位02,MDJ2,WS_Labeling,16,TRUE,,TBJ02,,WS,TBJ02,Labeling
