TagName,Purpose,IsCritical,Direction,TriggerCondition,Remarks,EquipmentCode
MDJ1.Input.Heartbeat,Heartbeat,,Input,,,MDJ1_PLC01
MDJ1.ManualMode,ManualMode,,Input,,,MDJ1_PLC01
MDJ1.AutoMode,AutoMode,,Input,,,MDJ1_PLC01
MDJ1.RunningStatus,Status,,Input,,,MDJ1_PLC01
BZJ01.Bagging.Status,Status,,Input,,,MDJ1_BZJ01
BZJ01.Bagging.Request,ProcessTrigger,,Input,=1,,MDJ1_BZJ01
BZJ01.Bagging.Code,QrCode,,Input,,,MDJ1_BZJ01
MDJ01.Palletizing.Status,Status,,Input,,,MDJ1_MDJ01
MDJ01.Palletizing.Request,ProcessTrigger,,Input,=1,,MDJ1_MDJ01
MDJ01.Palletizing.Code,QrCode,,Input,,,MDJ1_MDJ01
MDJ01.Palletizing.Sn,Sn,,Input,,,MDJ1_MDJ01
CDJ01.Grouping.Request,ProcessTrigger,,Input,=1,,MDJ1_CDJ01
CDJ01.Grouping.Code,QrCode,,Input,,,MDJ1_CDJ01
CDJ01.Grouping.PalletCode,PalletCode,,Input,,,MDJ1_CDJ01
MDJ1.OutPut.Heartbeat,Heartbeat,,OutPut,,,MDJ1_PLC01
BZJ01.Bagging.ProcessResult,ProcessResult,,OutPut,,,MDJ1_BZJ01
MDJ01.Palletizing.ProcessResult,ProcessResult,,OutPut,,,MDJ1_MDJ01
MDJ01.Palletizing.Position,Position,,OutPut,,,MDJ1_MDJ01
CDJ01.Grouping.ProcessResult,ProcessResult,,OutPut,,,MDJ1_CDJ01
